Tissue: Blood
Frequency Hz	Permittivity	Elec. Cond. (S/m)
50000	5197.699956554833	0.7008009871535303
69000	5170.008293525095	0.701464718780047
88000	5140.039786202353	0.7023048807130561
107000	5107.949701413288	0.7033111883151199
126000	5073.894622520692	0.7044742409555761
145000	5038.026956180855	0.7057851987150221
164000	5000.493428373928	0.7072356188872532
183000	4961.434740213966	0.7088173683082508
202000	4920.985580506636	0.710522575491338
221000	4879.274740513339	0.7123436050118845
240000	4836.425248091634	0.7142730447756246
259000	4792.554496639973	0.7163037008320559
278000	4747.774364474278	0.7184285965377366
297000	4702.1913268283515	0.7206409740890954
316000	4655.906564222594	0.7229342971690574
335000	4609.016070709421	0.7253022539026612
354000	4561.610764719789	0.727738759607144
373000	4513.776604377563	0.7302379590141077
392000	4465.594708387	0.7327942277712537
411000	4417.14148298024	0.7354021731202529
430000	4368.488754936114	0.7380566337089237
449000	4319.703910331302	0.7407526785385015
468000	4270.850038438696	0.7434856050760172
487000	4221.98608002506	0.7462509365814302
506000	4173.166979203068	0.7490444187118137
525000	4124.443837946311	0.7518620154724379
544000	4075.8640723678104	0.7546999045883631
563000	4027.471569883062	0.7575544723711763
582000	3979.306846419581	0.7604223081544828
601000	3931.4072028903065	0.7633001983692942
620000	3883.806880212859	0.7661851203269655
639000	3836.5372122267504	0.7690742357731344
658000	3789.626775933273	0.771964884271505
677000	3743.1015385555247	0.7748545764714547
696000	3696.9850009872102	0.7777409873085023
715000	3651.2983372672406	0.7806219491817705
734000	3606.0605297817942	0.7834954451477881
753000	3561.28849995583	0.786359602165371
772000	3516.9972342516735	0.7892126844219561
791000	3473.199905343113	0.7920530867676446
810000	3429.907988379273	0.7948793282793845
829000	3387.1313722936384	0.7976900459741798
848000	3344.8784661499135	0.8004839886869668
867000	3303.156300548388	0.8032600111258366
886000	3261.9706241441127	0.8060170681146057
905000	3221.32599535202	0.8087542090303296
924000	3181.225869334259	0.8114705724412012
943000	3141.6726803818146	0.8141653809483701
962000	3102.667919816298	0.8168379362335341
981000	3064.2122095488266	0.8194876143126872
1000000	3026.3053714415246	0.8221138609951258
